Designator,Mid X,Mid Y,Layer,Rotation
C1,32.41, 4.15,Top,90.0
C2,32.68, 7.98,Top,90.0
C3,38.84, 5.52,Top,90.0
C6, 7.62, 1.78,Top,180.0
C7,33.75, 4.67,Top,270.0
C8,33.75, 6.13,Top,90.0
C9, 8.26, 5.39,Top,180.0
C10, 8.13, 9.14,Top,270.0
C12, 9.79, 1.28,Top,180.0
C13, 7.05, 5.41,Top,0.0
C15,29.05,11.46,Top,270.0
C16,26.45, 6.81,Top,0.0
C17,26.67, 3.33,Top,270.0
C18,26.67, 4.67,Top,90.0
C21, 8.76, 1.78,Top,180.0
C26,11.88,14.11,Top,0.0
C36,11.93,11.07,Top,0.0
DS3,23.19,11.89,Top,270.0
E1,36.70,12.96,Top,0.0
IC1,24.20, 4.20,Top,90.0
IC2,29.60, 3.96,Top,270.0
L1,30.93,11.45,Top,180.0
L2,30.93,13.76,Top,0.0
Q1,18.61, 2.25,Top,180.0
Q2,20.98, 2.25,Top,180.0
Q3,29.60, 8.02,Top,180.0
Q4,18.61, 5.60,Top,180.0
Q5,21.01, 5.60,Top,180.0
R1,18.01, 4.50,Top,180.0
R2,18.51, 1.27,Top,180.0
R3,26.52, 1.62,Top,180.0
R4,21.61, 4.50,Top,180.0
R5,32.39, 5.67,Top,90.0
R6,37.96, 5.53,Top,90.0
R7,24.40, 7.33,Top,0.0
R8,34.54, 7.02,Top,0.0
R9,21.21, 1.27,Top,0.0
R10,18.61, 7.50,Top,180.0
R11,19.21, 4.50,Top,180.0
R12,21.01, 7.50,Top,180.0
R13,20.41, 4.50,Top,0.0
U$1,35.58, 5.53,Top,180.0
U$14,22.80, 7.33,Top,0.0
U2,12.82, 4.99,Top,90.0
Y1, 7.60, 3.60,Top,90.0
Y2, 7.60, 7.00,Top,270.0
